year,median_home_price,median_household_income,consumer_price_index,home_price_to_income_ratio,inflation_adjusted_home_price,inflation_adjusted_income
1984,79950.0,22420.0,103.93333333333334,3.5660124888492417,199123.0007617062,55839.12041372675
1985,84275.0,23620.0,107.60000000000001,3.5679508890770535,202742.27073652417,56823.16742565056
1986,92025.0,24900.0,109.69166666666666,3.6957831325301207,217165.08753703564,58760.23558459318
1987,104700.0,26060.0,113.61666666666667,4.017651573292402,238540.680871351,59373.16278421592
1988,112225.0,27230.0,118.27499999999999,4.121373485126698,245614.76680405834,59595.36734305644
1989,120425.0,28910.0,123.94166666666666,4.165513663092356,251511.0901129564,60379.36985813219
1990,122300.0,29940.0,130.65833333333333,4.084836339345357,242296.51042796098,59316.087671407615
1991,119975.0,30130.0,136.16666666666666,3.9819117158977764,228075.04484394126,57277.775379436964
1992,121375.0,30640.0,140.30833333333334,3.9613250652741514,223925.5210993645,56527.93381243689
1993,126500.0,31240.0,144.475,4.049295774647887,226649.9558747188,55972.68475514795
1994,130425.0,32260.0,148.225,4.042932424054556,227770.3571850228,56337.90855118907
1995,133475.0,34080.0,152.38333333333333,3.916519953051643,226735.8934567429,57892.18392212623
1996,140250.0,35490.0,156.85833333333332,3.951817413355875,231447.81769643523,58567.4370769803
1997,145000.0,37010.0,160.525,3.917860037827614,233820.79894097493,59680.74323314125
1998,151925.0,38890.0,163.00833333333333,3.9065312419645153,241255.51752211034,61756.96611113951
1999,160125.0,40700.0,166.58333333333334,3.9342751842751844,248820.0718484242,63244.19624812406
2000,167550.0,41990.0,172.1916666666667,3.990235770421529,251877.93202826305,63123.571267482934
2001,173100.0,42230.0,177.04166666666666,4.098981766516694,253092.56949870562,61745.22940456578
2002,186025.0,42410.0,179.86666666666667,4.386347559537845,267718.53721506667,61034.50161693847
2003,192125.0,43320.0,184.0,4.435018467220683,270286.20091711957,60943.64722826087
2004,218150.0,44330.0,188.90833333333333,4.921046695240244,298924.7793683003,60744.14608937316
2005,236550.0,46330.0,195.26666666666665,5.1057630045327,313583.1051340048,61417.481550870616
2006,243750.0,48200.0,201.5583333333333,5.0570539419087135,313041.33160375414,61901.916649439794
2007,244950.0,50230.0,207.34416666666667,4.876567788174397,305804.19493756356,62708.89859854589
2008,229550.0,50300.0,215.25424999999998,4.563618290258449,276047.22049622715,60488.67432350349
2009,215650.0,49780.0,214.56466666666665,4.3320610687022905,260165.12110179683,60055.737205877325
2010,222700.0,49280.0,218.0761666666667,4.519074675324675,264344.22617632826,58495.210893441654
2011,224900.0,50050.0,224.923,4.4935064935064934,258829.28013142274,57600.73575179061
2012,244400.0,51020.0,229.58608333333333,4.790278322226578,275558.27592627745,57524.481332891475
2013,266225.0,53590.0,232.95174999999998,4.967811158798283,295828.9518913252,59549.154030823986
2014,285775.0,53660.0,236.715,5.325661572866195,312504.49678410747,58679.00025346936
2015,294150.0,56520.0,237.00175000000002,5.2043524416135885,321273.6566818599,61731.72556742724
2016,305125.0,59040.0,240.00541666666666,5.168106368563685,329089.9089517077,63677.07734374051
2017,322425.0,61140.0,245.121,5.273552502453386,340491.2887665683,64565.82893754513
2018,325275.0,63180.0,251.0995,5.148385565052232,335322.4681102511,65131.57646669946
2019,320250.0,68700.0,255.65258333333335,4.6615720524017465,324262.5318180825,69560.76794973385
2020,328150.0,68010.0,258.85575,4.825025731510072,328150.0,68010.0
2021,383000.0,70780.0,270.96791666666667,5.411133088443063,365880.0402261645,67616.159914381
2022,432950.0,74580.0,292.6254166666667,5.805175650308394,382986.54381810647,65973.2912298288
2023,426525.0,80610.0,304.70416666666665,5.291216970599181,362346.3701746229,68480.72422431594
